TRoll,TPitch, mavlink_nav_controller_output_t.alt_error, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_ahrs_t.omegaIx, mavlink_ahrs_t.omegaIy, mavlink_ahrs_t.omegaIz, mavlink_ahrs_t.error_rp, mavlink_ahrs_t.error_yaw, mavlink_ekf_status_report_t.velocity_variance, mavlink_ekf_status_report_t.pos_horiz_variance, mavlink_ekf_status_report_t.pos_vert_variance, mavlink_ekf_status_report_t.compass_variance, mavlink_ekf_status_report_t.terrain_alt_variance
-0.01967332,1.136953,-4.175241,-5.58E-05,0.01939906,2.479399,0.000620964,0.000922662,-0.000438402,-0.00061309,-0.001060235,-0.000280652,0.004308151,0.02610847,0.0357051,0.02142987,0.01392931,0.04624555,0.08051686
-0.01967332,1.136953,-4.175241,-5.58E-05,0.01939906,2.479399,0.000620964,0.000922662,-0.000438402,-0.00061309,-0.001060235,-0.000280652,0.004308151,0.02610847,0.0357051,0.02142987,0.01392931,0.04624555,0.08051686
-0.01967332,1.136953,-4.175241,-5.58E-05,0.01939906,2.479399,0.000620964,0.000922662,-0.000438402,-0.00061309,-0.001060235,-0.000280652,0.004308151,0.02610847,0.0357051,0.02142987,0.01392931,0.04624555,0.08051686
0.01596114,1.106477,-4.241973,-5.58E-05,0.01939906,2.479399,0.000620964,0.000922662,-0.000438402,-0.00061309,-0.001060235,-0.000280652,0.004308151,0.02610847,0.0357051,0.02142987,0.01392931,0.04624555,0.08051686
0.01596114,1.106477,-4.241973,-5.58E-05,0.01939906,2.479399,0.000620964,0.000922662,-0.000438402,-0.000613541,-0.001069917,-0.000285346,0.004282543,0.02341078,0.0357051,0.02142987,0.01392931,0.04624555,0.08051686
0.01596114,1.106477,-4.241973,-5.58E-05,0.01939906,2.479399,0.000620964,0.000922662,-0.000438402,-0.000613541,-0.001069917,-0.000285346,0.004282543,0.02341078,0.02073973,0.007531994,0.01051562,0.05832709,0.07951482
0.01596114,1.106477,-4.241973,-5.58E-05,0.01939906,2.479399,0.000620964,0.000922662,-0.000438402,-0.000613541,-0.001069917,-0.000285346,0.004282543,0.02341078,0.02073973,0.007531994,0.01051562,0.05832709,0.07951482
0.01596114,1.106477,-4.241973,0.000722114,0.01908985,2.478939,0.0016037,0.001152263,0.001238153,-0.000613541,-0.001069917,-0.000285346,0.004282543,0.02341078,0.02073973,0.007531994,0.01051562,0.05832709,0.07951482
0.01596114,1.106477,-4.241973,0.000722114,0.01908985,2.478939,0.0016037,0.001152263,0.001238153,-0.000613541,-0.001069917,-0.000285346,0.004282543,0.02341078,0.02073973,0.007531994,0.01051562,0.05832709,0.07951482
0.01596114,1.106477,-4.241973,0.000722114,0.01908985,2.478939,0.0016037,0.001152263,0.001238153,-0.000613541,-0.001069917,-0.000285346,0.004282543,0.02341078,0.02073973,0.007531994,0.01051562,0.05832709,0.07951482
0.01596114,1.106477,-4.241973,0.000722114,0.01908985,2.478939,0.0016037,0.001152263,0.001238153,-0.000613541,-0.001069917,-0.000285346,0.004282543,0.02341078,0.02073973,0.007531994,0.01051562,0.05832709,0.07951482
